rank,birthday
1,04-23
2,04-26
3,05-05
4,07-23
5,07-26
6,08-05
7,04-29
8,05-02
9,04-25
10,10-23
11,10-26
12,11-05
13,04-28
14,05-01
15,04-21
16,04-30
17,05-03
18,04-20
19,04-27
20,07-29
21,08-02
22,07-25
23,08-08
24,12-23
25,12-26
26,07-28
27,08-01
28,07-30
29,08-03
30,07-27
31,10-29
32,11-02
33,01-23
34,01-26
35,04-22
36,04-24
37,05-04
38,05-08
39,05-14
40,05-17
41,06-23
42,06-26
43,07-05
44,09-14
45,09-17
46,10-14
47,10-17
48,10-25
49,10-28
50,11-01
51,10-08
52,10-30
53,11-03
54,01-02
55,08-14
56,08-17
57,09-08
58,09-23
59,09-26
60,10-05
61,10-20
62,10-27
63,12-29
64,10-21
65,04-17
66,07-24
67,07-31
68,08-04
69,08-06
70,08-07
71,08-23
72,08-26
73,09-05
74,12-25
75,01-01
76,04-19
77,12-28
78,01-03
79,07-08
80,12-30
81,07-14
82,07-17
83,01-17
84,01-29
85,02-02
86,05-11
87,05-20
88,06-29
89,07-02
90,09-11
91,09-20
92,10-11
93,12-27
94,10-19
95,01-20
96,04-05
97,04-08
98,04-14
99,01-05
100,01-25
101,05-06
102,05-07
103,05-16
104,06-08
105,06-14
106,06-17
107,06-25
108,07-22
109,08-11
110,08-20
111,09-16
112,09-29
113,10-02
114,10-16
115,10-22
116,10-24
117,10-31
118,11-04
119,11-06
120,01-28
121,02-01
122,05-10
123,05-19
124,06-28
125,07-01
126,09-10
127,09-19
128,10-10
129,01-21
130,01-30
131,02-03
132,05-12
133,06-30
134,07-03
135,09-12
136,10-12
137,10-07
138,01-27
139,05-09
140,05-18
141,06-27
142,08-16
143,08-29
144,09-02
145,09-07
146,09-09
147,09-18
148,09-25
149,10-09
150,10-18
151,08-10
152,08-19
153,09-28
154,10-01
155,09-21
156,01-19
157,08-12
158,09-30
159,10-03
160,08-21
161,07-11
162,07-20
163,01-08
164,01-14
165,07-07
166,08-09
167,08-18
168,08-25
169,09-27
170,12-24
171,12-31
172,08-28
173,09-01
174,04-11
175,05-21
176,06-21
177,07-21
178,08-30
179,09-03
180,01-18
181,07-16
182,11-23
183,11-26
184,12-05
185,04-18
186,06-05
187,06-11
188,06-20
189,07-10
190,07-19
191,08-27
192,11-08
193,03-23
194,03-26
195,07-12
196,04-07
197,04-16
198,04-10
199,04-12
200,07-09
201,07-18
202,01-22
203,01-24
204,01-31
205,05-13
206,05-15
207,05-23
208,05-26
209,06-07
210,06-16
211,06-24
212,07-04
213,07-06
214,09-13
215,09-15
216,10-13
217,10-15
218,06-10
219,06-19
220,04-09
221,06-12
222,11-14
223,11-17
224,09-22
225,01-11
226,06-09
227,06-18
228,08-13
229,08-15
230,09-06
231,09-24
232,10-04
233,10-06
234,11-07
235,02-23
236,02-26
237,08-22
238,11-29
239,12-02
240,01-04
241,01-07
242,01-16
243,02-05
244,02-08
245,02-14
246,02-17
247,03-05
248,06-22
249,08-24
250,08-31
251,09-04
252,01-10
253,03-29
254,04-02
255,01-12
256,12-21
257,07-13
258,07-15
259,11-25
260,01-09
261,03-08
262,03-14
263,03-17
264,05-29
265,06-02
266,11-28
267,12-01
268,03-25
269,11-30
270,12-03
271,03-28
272,04-01
273,04-06
274,04-13
275,04-15
276,11-11
277,11-20
278,03-30
279,04-03
280,11-27
281,05-25
282,06-13
283,06-15
284,11-21
285,12-08
286,12-14
287,12-17
288,12-22
289,03-27
290,05-28
291,06-01
292,03-21
293,05-30
294,06-03
295,11-16
296,02-20
297,02-29
298,03-02
299,11-10
300,11-19
301,11-12
302,02-11
303,05-27
304,11-09
305,11-18
306,02-25
307,06-06
308,02-28
309,03-01
310,01-06
311,01-13
312,01-15
313,02-04
314,02-07
315,02-16
316,02-21
317,03-03
318,03-11
319,03-20
320,04-04
321,05-22
322,02-10
323,02-19
324,02-12
325,02-27
326,11-24
327,12-04
328,02-09
329,02-18
330,03-07
331,03-16
332,12-11
333,12-20
334,03-10
335,03-19
336,03-22
337,03-24
338,03-31
339,03-12
340,11-22
341,03-09
342,03-18
343,05-24
344,05-31
345,06-04
346,12-07
347,12-16
348,12-10
349,12-19
350,11-13
351,11-15
352,12-12
353,12-09
354,12-18
355,02-22
356,02-24
357,03-04
358,02-06
359,02-13
360,02-15
361,12-06
362,03-06
363,03-13
364,03-15
365,12-13
366,12-15